
savename=ours_concept; dataset=cub; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,53.7797749042511,0.0,53.7797749042511,53.7797749042511,86.20986938476562,0.0,86.20986938476562,86.20986938476562
savename=ours_concept; dataset=places365; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a place: a ,43.7643826007843,0.0,43.7643826007843,43.7643826007843,72.01643586158752,0.0,72.01643586158752,72.01643586158752
savename=ours_concept; dataset=food101; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.43366622924805,0.0,93.43366622924805,93.43366622924805,99.36633706092834,0.0,99.36633706092834,99.36633706092834
savename=ours_concept; dataset=pets; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a pet: a ,94.11283731460571,0.0,94.11283731460571,94.11283731460571,99.91823434829712,0.0,99.91823434829712,99.91823434829712
savename=ours_concept; dataset=dtd; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a texture: a ,57.60638117790222,0.0,57.60638117790222,57.60638117790222,85.6382966041565,0.0,85.6382966041565,85.6382966041565
savename=ours_concept; dataset=flowers102; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a flower: a ,79.10229563713074,0.0,79.10229563713074,79.10229563713074,91.90112352371216,0.0,91.90112352371216,91.90112352371216
savename=ours_concept; dataset=fgvcaircraft; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a aircraft: a ,51.03510618209839,0.0,51.03510618209839,51.03510618209839,88.14881443977356,0.0,88.14881443977356,88.14881443977356
savename=ours_concept; dataset=cars; mode=comparative; model_size=ViT-L/14; label_before_text=A photo of a car: a ,76.53276920318604,0.0,76.53276920318604,76.53276920318604,98.03506731987,0.0,98.03506731987,98.03506731987

savename=ours_concept; dataset=cub; mode=comparative; model_size=RN50; label_before_text=A photo of a bird: a ,49.36140775680542,0.0,49.36140775680542,49.36140775680542,82.82706141471863,0.0,82.82706141471863,82.82706141471863
savename=ours_concept; dataset=eurosat; mode=comparative; model_size=RN50; label_before_text=A photo of a satellite photo: a ,43.259260058403015,0.0,43.259260058403015,43.259260058403015,91.85185432434082,0.0,91.85185432434082,91.85185432434082
savename=ours_concept; dataset=places365; mode=comparative; model_size=RN50; label_before_text=A photo of a place: a ,40.83561599254608,0.0,40.83561599254608,40.83561599254608,71.8931496143341,0.0,71.8931496143341,71.8931496143341
savename=ours_concept; dataset=food101; mode=comparative; model_size=RN50; label_before_text=A photo of a food: a ,81.39010071754456,0.0,81.39010071754456,81.39010071754456,96.71286940574646,0.0,96.71286940574646,96.71286940574646
savename=ours_concept; dataset=pets; mode=comparative; model_size=RN50; label_before_text=A photo of a pet: a ,87.02643513679504,0.0,87.02643513679504,87.02643513679504,99.5911717414856,0.0,99.5911717414856,99.5911717414856
savename=ours_concept; dataset=dtd; mode=comparative; model_size=RN50; label_before_text=A photo of a texture: a ,42.4468070268631,0.0,42.4468070268631,42.4468070268631,77.92553305625916,0.0,77.92553305625916,77.92553305625916
savename=ours_concept; dataset=flowers102; mode=comparative; model_size=RN50; label_before_text=A photo of a flower: a ,68.32005381584167,0.0,68.32005381584167,68.32005381584167,84.98942852020264,0.0,84.98942852020264,84.98942852020264
savename=ours_concept; dataset=fgvcaircraft; mode=comparative; model_size=RN50; label_before_text=A photo of a aircraft: a ,25.082507729530334,0.0,25.082507729530334,25.082507729530334,61.116111278533936,0.0,61.116111278533936,61.116111278533936
savename=ours_concept; dataset=cars; mode=comparative; model_size=RN50; label_before_text=A photo of a car: a ,54.59520220756531,0.0,54.59520220756531,54.59520220756531,89.0312135219574,0.0,89.0312135219574,89.0312135219574
